Date,W5000,VINIX,AMZN,SBUX,BAC,PG
3/25/13,0.831280603,0.70081995,3.059015932,-1.008166192,-3.943217666,-0.271773014
4/1/13,-1.3370144,-0.545263183,-4.3074442,1.172760351,-1.481481481,1.795712474
4/8/13,2.319825302,1.661782561,6.623162368,2.178796397,1.416666667,2.508959197
4/15/13,-2.164818449,0.189796155,-3.969300766,-0.443228776,-4.347826087,2.055394134
4/22/13,1.842811271,1.284913435,-1.750533216,2.704556751,6.335616438,-5.177715046
4/29/13,2.001076024,1.334882923,1.235776412,2.518643,-1.686746988,0.812279546
5/6/13,1.349534448,1.099052001,2.14654155,1.774190323,5.084745763,0.93554147
5/13/13,1.971036423,2.12056005,2.713401567,1.471512635,3.466872111,1.923315452
5/20/13,-1.176561983,-0.973595183,-2.698888476,-1.0463814,-1.120238984,2.375586307
5/28/13,-1.036532362,-1.731034087,1.020714833,-1.666407128,1.260192735,-6.447289222
6/3/13,0.656395322,0.225507058,2.940959349,2.813789213,-2.264426589,1.144785958
6/10/13,-0.946189979,-0.939970169,-0.97224341,-0.091388968,-3.113417346,0.437632889
6/17/13,-2.17221901,-2.825305099,-1.081968857,-2.266203286,-3.644646925,-1.060569868
