"","Year","Team","G","MP","NFGM","NFGA","PCTFG","N3PM","N3PA","PCT3P","N2PM","N2PA","PCT2P","NFTM","NFTA","PCTFT","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"17","2015-16","Indiana Pacers*",82,242.4,38.3,85.2,45,8.1,23,35.1,30.2,62.1,48.6,17.4,22.8,76.4,10.3,33.9,44.2,21.2,9,4.8,14.9,20,102.2
"18","2015-16","Orlando Magic",82,242.7,39.5,86.8,45.5,7.8,22.2,35,31.8,64.7,49.2,15.2,20.1,75.7,10.3,33,43.3,23.6,8.2,5.1,14.1,20.7,102.1
"19","2015-16","Detroit Pistons*",82,242.4,37.9,86.4,43.9,9,26.2,34.5,28.9,60.2,48,17.1,25.5,66.8,12.5,33.9,46.3,19.4,7,3.7,13.5,19,102
"20","2015-16","Denver Nuggets",82,241.8,37.7,85.4,44.2,8,23.7,33.8,29.7,61.7,48.2,18.5,24.1,76.6,11.5,33.1,44.6,22.7,7.4,4.8,14.7,21,101.9
"21","2015-16","Chicago Bulls",82,242.7,38.6,87.4,44.1,7.9,21.4,37.1,30.7,66.1,46.4,16.5,21,78.7,11.1,35.2,46.3,22.8,6,5.7,13.9,18.8,101.6
"22","2015-16","Phoenix Suns",82,240.3,37.2,85.6,43.5,9,25.8,34.8,28.2,59.8,47.2,17.5,23.2,75.1,11.5,33.3,44.8,20.7,7.7,3.8,17.2,22.7,100.9
"23","2015-16","Miami Heat*",82,241.8,38.4,81.7,47,6.1,18,33.6,32.3,63.6,50.8,17.1,23,74.4,9.8,34.3,44.1,20.8,6.7,6.5,14.1,18.3,100
"24","2015-16","Memphis Grizzlies*",82,241.8,36.8,83.6,44,6.1,18.5,33.1,30.7,65.1,47.1,19.3,24.7,78.3,11.2,30.5,41.6,20.7,8.8,4.3,13.3,21.7,99.1
"25","2015-16","Milwaukee Bucks",82,241.8,38.4,82.2,46.7,5.4,15.6,34.5,33,66.6,49.5,17,22.7,74.7,10.5,31.2,41.7,23.1,8.2,5.8,15.2,20.7,99
"26","2015-16","Brooklyn Nets",82,240.9,38.2,84.4,45.3,6.5,18.4,35.2,31.8,66,48.1,15.7,20.7,75.7,10.5,31.9,42.4,22.3,7.6,4,14.8,18,98.6
"27","2015-16","New York Knicks",82,241.5,36.9,84,43.9,7.4,21.5,34.6,29.4,62.5,47.1,17.2,21.4,80.5,10.4,34,44.4,20.5,5.7,5.7,13.4,19.7,98.4
"28","2015-16","Utah Jazz",82,243.4,36.1,80.4,44.9,8.5,23.9,35.5,27.6,56.5,48.8,17.1,23,74.4,10.7,32.5,43.2,19,7.7,5.2,14.9,20.2,97.7
"29","2015-16","Philadelphia 76ers",82,241.5,36.2,84,43.1,9.3,27.5,33.9,26.9,56.5,47.6,15.7,22.6,69.4,9.5,31.8,41.2,21.5,8.3,6,16.4,21.7,97.4
"30","2015-16","Los Angeles Lakers",82,240.6,35.1,84.8,41.4,7.8,24.6,31.7,27.3,60.2,45.4,19.3,24.7,78.1,10.7,32.3,43,18,7.2,4.1,13.7,20.3,97.3
"31","2014-15","Golden State Warriors*",82,240.6,41.6,87,47.8,10.8,27,39.8,30.8,60,51.4,16,20.8,76.8,10.4,34.3,44.7,27.4,9.3,6,14.5,19.9,110
"32","2014-15","Los Angeles Clippers*",82,240.6,39.4,83.3,47.3,10.1,26.9,37.6,29.3,56.4,51.9,17.9,25.2,71,9.6,33.1,42.6,24.8,7.8,5,12.3,21.3,106.7
"33","2014-15","Dallas Mavericks*",82,242.4,39.7,85.8,46.3,8.9,25.4,35.2,30.8,60.4,50.9,16.9,22.5,75.2,10.5,31.8,42.3,22.5,8.1,4.5,13,20,105.2
"34","2014-15","Toronto Raptors*",82,242.1,37.9,83.3,45.5,8.9,25.1,35.2,29,58.2,49.9,19.3,24.6,78.7,10.7,30.8,41.5,20.7,7.5,4.4,12.9,20.9,104
"35","2014-15","Oklahoma City Thunder",82,241.8,38.8,86.8,44.7,7.7,22.7,33.9,31.1,64.1,48.6,18.6,24.6,75.4,12.8,34.7,47.5,20.5,7.3,5.5,14.7,22.3,104
"36","2014-15","Houston Rockets*",82,241.5,37,83.3,44.4,11.4,32.7,34.8,25.6,50.6,50.6,18.6,26,71.5,11.7,32,43.7,22.2,9.5,5,16.7,22,103.9
