"County","LandArea","PctRural","MedianIncome","Population","PctUnder18","PctOver65","PctPoverty","PctUninsured","PctSomeCollege","PctUnemployed","Physicians","PhysiciansPer10000"
"Harris",1703.5,1.2,54230,4441370,27.1,9.2,18.5,24,57,4.9,2509,5.64915780491155
"Dallas",871.3,0.7,50118,2518638,26.9,9.7,19.1,25,54.2,5.4,1633,6.48366299563494
"Tarrant",863.6,1.3,58127,1945360,27.1,10.2,15.2,25,61.8,5,1106,5.68532302504421
"Bexar",1239.8,4.5,50699,1855866,26.2,11.3,17.6,27,62.5,4.6,1302,7.01559272059513
"Travis",990.2,5.5,61779,1151145,23,8.4,17.4,24,71.2,4,947,8.22659178470132
"Collin",841.2,5.2,86634,885241,27.2,9.7,7.8,28,80,4.5,776,8.7659744634512
"El Paso",935.5,2.2,40081,833487,28.3,11.3,11.9,24,60.5,6.5,380,4.55915929102673
"Hidalgo",1570.9,5.1,34368,831073,33.6,10.4,34.8,25,45.3,8.7,368,4.42801053577724
"Denton",878.4,6.9,74569,753363,26.1,8.7,8.7,33,75.9,4.4,457,6.06613279388555
"Fort Bend",861.5,5.5,88516,685345,27.9,9.4,8.4,25,73.2,4.5,505,7.36855160539582
"Montgomery",1041.7,22.7,70929,518947,26.8,12,12.4,27,63.3,4.4,305,5.87728611977716
"Williamson",1118.3,12,73098,489250,27.1,10.9,7,28,74.8,4.3,311,6.35666836995401
"Cameron",890.9,8.4,32215,420392,31.6,12.4,34.8,22,45.5,8.3,201,4.78125178404917
"Nueces",838.5,6.4,51222,356221,25.3,13,18.4,19,58.1,5,264,7.41112960774351
"Brazoria",1357.7,22.5,73788,338124,26.8,10.9,11.2,22,65.5,5,214,6.32903905076244
"Bell",1051,15.2,51048,329140,27.7,9.9,15.3,29,65.3,5.8,275,8.35510724919487
"Galveston",378.4,6.1,58333,314198,24.7,12.8,13.3,16,63.6,5.5,211,6.71551060159517
"Lubbock",895.6,11.3,45719,293974,24.2,11.8,20.4,27,64.7,3.9,221,7.51767163082449
"Webb",3361.5,2.6,37935,266673,34,8.7,31.4,20,47.2,5.1,83,3.1124260798806
"Jefferson",876.3,8.4,41147,252235,23.7,13.4,21,20,51,8.2,152,6.02612642971832
"McLennan",380.9,23.4,43488,243441,24.8,13.4,23.2,22,59,5.1,164,6.73674524833532
"Smith",921.5,31.6,45363,218842,24.9,15.5,16.7,24,62.1,5.2,221,10.0986099560413
"Brazos",585.5,12.1,41641,209152,20.5,8.3,29.8,39,66.5,3.9,161,7.69775091799266
"Hays",678,31.7,59569,185025,23.6,10,17,25,68.6,4.2,73,3.94541278205648
"Ellis",1012.7,32,61157,159317,27,11.9,23.3,23,57.2,4.9,65,4.0799161420313
"Johnson",724.7,37.9,55926,157456,26.4,13.2,12,28,51.6,5,75,4.76323544355248
"Midland",900.3,12.3,74811,155830,27.6,10.2,10.4,27,61.7,2.8,59,3.78617724443304
"Ector",897.7,9.5,55555,153904,29.8,9.6,15.9,26,48.1,3.4,85,5.52292338080882
"Guadalupe",711.3,26.2,61825,147250,26.2,13,9.7,24,62.7,4.3,44,2.98811544991511
"Taylor",915.6,16,45559,135143,24.6,13.9,17.4,25,62.7,4.2,91,6.73360810400835
"Wichita",627.8,10.7,43379,132355,22.8,13.8,15.6,35,57,4.9,105,7.93320992784557
"Randall",911.5,14.4,64636,128220,24.3,13.6,10.3,29,73.3,3.4,79,6.16128529090625
"Comal",559.5,46.1,64533,123694,23.1,17.4,10.2,20,67.1,4.5,85,6.87179653014698
"Grayson",932.8,43.2,49261,123534,23.8,17,15.7,21,56.2,4.8,63,5.09981057846423
"Gregg",273.3,13.4,50020,123204,25.8,14.2,17.6,37,54.4,4.8,90,7.30495763124574
"Parker",903.5,56.1,67655,123164,24.4,14.8,10.9,20,63.8,4.5,61,4.95274593225293
